日期时间,代码,中文名称,英文名称,交易类型,最新价,涨跌额,涨跌幅,昨收,今开,最高,最低,成交量,成交额,买一,卖一
2025/07/18 11:59:45,00001,长和,CKH HOLDINGS,,48.55,0.0,0.0,48.55,48.9,49.0,48.3,2884105,140061837,48.5,48.55
2025/07/18 11:59:51,00002,中电控股,CLP HOLDINGS,,66.25,0.35,0.53111,65.9,65.85,66.3,65.85,1075867,71139419,66.2,66.25
2025/07/18 11:59:33,00003,香港中华煤气,HK & CHINA GAS,,6.77,-0.03,-0.44118,6.8,6.77,6.82,6.75,4700388,31869244,6.76,6.77
2025/07/18 11:58:44,00004,九龙仓集团,WHARF HOLDINGS,,23.1,0.2,0.87336,22.9,22.65,23.25,22.65,310106,7147932,23.05,23.1
2025/07/18 11:59:58,00005,汇丰控股,HSBC HOLDINGS,,98.2,0.55,0.56324,97.65,98.5,98.55,98.1,3972674,390652612,98.15,98.2
2025/07/18 11:59:46,00006,电能实业,POWER ASSETS,,50.2,-0.1,-0.19881,50.3,50.35,50.6,50.05,1327993,66752378,50.15,50.2
2025/07/18 08:55:00,00007,智富资源投资,WISDOM WEALTH,,0.032,0.0,0.0,0.032,0.0,0.0,0.0,0,0,0.0,0.0
2025/07/18 11:59:41,00008,电讯盈科,PCCW,,5.76,0.06,1.05263,5.7,5.69,5.8,5.69,4383383,25260924,5.75,5.76
2025/07/18 08:55:00,00009,金奥国际,KEYNE LTD,,0.013,0.0,0.0,0.013,0.0,0.0,0.0,0,0,0.0,0.0
2025/07/18 11:59:17,00010,恒隆集团,HANG LUNG GROUP,,13.6,0.12,0.89021,13.48,13.48,13.64,13.42,338000,4578480,13.56,13.6
2025/07/18 11:59:45,00011,恒生银行,HANG SENG BANK,,122.4,0.4,0.32787,122.0,122.9,123.6,121.6,544611,66548034,122.4,122.5
2025/07/18 11:58:35,00012,恒基地产,HENDERSON LAND,,26.25,-0.3,-1.12994,26.55,26.55,27.0,26.2,5866144,155562728,26.2,26.25
2025/07/18 11:59:20,00013,和黄医药,HUTCHMED,,27.65,0.15,0.54546,27.5,28.0,28.4,27.1,7315000,203336812,27.65,27.75
2025/07/18 11:57:53,00014,希慎兴业,HYSAN DEV,,14.82,-0.12,-0.80321,14.94,14.9,15.0,14.7,640048,9477019,14.78,14.82
2025/07/18 11:59:52,00016,新鸿基地产,SHK PPT,,90.55,-0.8,-0.87575,91.35,91.55,92.0,90.45,773024,70344202,90.55,90.6
2025/07/18 11:58:53,00017,新世界发展,NEW WORLD DEV,,5.58,0.07,1.27042,5.51,5.55,5.66,5.53,5724463,32143746,5.57,5.59
2025/07/18 11:47:36,00018,东方企控集团,ORIENTAL E H,,0.36,-0.01,-2.7027,0.37,0.36,0.36,0.355,264000,94170,0.36,0.365
2025/07/18 11:53:21,00019,太古股份公司Ａ,SWIRE PACIFIC A,,69.6,-0.95,-1.34656,70.55,70.0,70.65,69.45,170545,11920009,69.6,69.65
2025/07/18 11:59:58,00020,商汤－Ｗ,SENSETIME-W,,1.65,0.0,0.0,1.65,1.66,1.68,1.65,158087000,262774480,1.65,1.66
2025/07/18 11:59:52,00021,大中华控股,GREAT CHI HLDGS,,0.148,0.029,24.36975,0.119,0.128,0.148,0.128,780000,113480,0.125,0.148
