name,cname,symbol
NVIDIA Corp.,英伟达公司,NVDA
Microsoft Corp.,微软公司,MSFT
"Apple, Inc.",苹果公司,AAPL
"Amazon.com, Inc.",亚马逊公司,AMZN
"Alphabet, Inc.",谷歌,GOOG
"Alphabet, Inc.",谷歌A类股,GOOGL
"Meta Platforms, Inc.","Meta Platforms, Inc.",META
Broadcom Inc.,博通,AVGO
"Taiwan Semiconductor Manufacturing Co., Ltd.",台湾积体电路制造公司,TSM
"Tesla, Inc.",特斯拉,TSLA
"Berkshire Hathaway, Inc.",伯克希尔-哈撒韦,BRK.A
"Berkshire Hathaway, Inc.",伯克希尔-哈撒韦B,BRK.B
JPMorgan Chase & Co.,摩根大通公司,JPM
"Walmart, Inc.",沃尔玛公司,WMT
Eli Lilly & Co.,礼来公司,LLY
Oracle Corp.,甲骨文公司,ORCL
"Visa, Inc.",维萨卡公司,V
"Netflix, Inc.",奈飞公司,NFLX
"Mastercard, Inc.",万事达卡公司,MA
Vanguard Total International Stock ETF,领航 国际股票 ETF,VXUS
Exxon Mobil Corp.,埃克森美孚公司,XOM
Costco Wholesale Corp.,开市客公司,COST
Johnson & Johnson,强生公司,JNJ
Procter & Gamble Co.,宝洁公司,PG
"Palantir Technologies, Inc.","Palantir Technologies, Inc.",PLTR
"The Home Depot, Inc.",家得宝公司,HD
SAP SE,SAP,SAP
Bank of America Corp.,美国银行公司,BAC
"AbbVie, Inc.",艾伯维公司,ABBV
The Coca-Cola Co.,可口可乐公司,KO
Alibaba Group Holding Ltd.,阿里巴巴,BABA
ASML Holding NV,阿斯麦公司,ASML
Novo Nordisk A/S,诺和诺德公司,NVO
GE Aerospace,GE航空航天,GE
"Philip Morris International, Inc.",菲利普莫里斯国际公司,PM
"Cisco Systems, Inc.",思科系统公司,CSCO
International Business Machines Corp.,IBM(国际商业机器有限公司),IBM
Chevron Corp.,雪佛龙公司,CVX
Wells Fargo & Co.,富国银行,WFC
"T-Mobile US, Inc.","T-Mobile US, Inc.",TMUS
"UnitedHealth Group, Inc.",美国联合健康集团,UNH
"Advanced Micro Devices, Inc.",美国超微公司,AMD
"Salesforce, Inc.",赛富时公司,CRM
Vanguard Growth Index Fund,成长股指数ETF-Vanguard MSCI,VUG
Morgan Stanley,摩根士丹利,MS
Novartis AG,诺华公司,NVS
Toyota Motor Corp.,丰田汽车公司,TM
HSBC Holdings Plc,汇丰控股公司,HSBC
Linde Plc,Linde Plc,LIN
The Walt Disney Co.,沃特迪士尼公司,DIS
"The Goldman Sachs Group, Inc.",高盛集团,GS
American Express Co.,美国运通公司,AXP
Abbott Laboratories,雅培公司,ABT
AstraZeneca PLC,阿斯利康公司,AZN
McDonald's Corp.,麦当劳公司,MCD
"Intuit, Inc.",财捷集团,INTU
Shell Plc,Shell Plc,SHEL
RTX Corp.,RTX Corp.,RTX
"Merck & Co., Inc.",默沙东集团,MRK
"ServiceNow, Inc.",现在服务公司,NOW
Texas Instruments Incorporated,德州仪器公司,TXN
"PepsiCo, Inc.",百事可乐公司,PEP
"Caterpillar, Inc.",卡特彼勒公司,CAT
"AT&T, Inc.",美国电话电报公司,T
Shell Plc,荷兰皇家壳牌石油公司,RDS.A
HDFC Bank Ltd.,HDFC银行,HDB
"Uber Technologies, Inc.",优步科技有限公司,UBER
Royal Bank of Canada,加拿大皇家银行,RY
Vanguard Mid-Cap Index Fund,领航 中盘股 ETF,VO
"Intuitive Surgical, Inc.",直觉外科公司,ISRG
"Booking Holdings, Inc.",缤客,BKNG
Accenture Plc,埃森哲公司,ACN
The Charles Schwab Corp.,嘉信理财公司,SCHW
The Boeing Co.,波音公司,BA
"Verizon Communications, Inc.",威讯通信公司,VZ
"Citigroup, Inc.",花旗集团,C
"BlackRock, Inc.",贝莱德集团,BLK
"QUALCOMM, Inc.",高通公司,QCOM
Arm Holdings Plc,Arm Holdings Plc,ARM
"Shopify, Inc.","Shopify, Inc.",SHOP
"S&P Global, Inc.",标普全球,SPGI
"Amgen, Inc.",安进公司,AMGN
"GE Vernova, Inc.","GE Vernova, Inc.",GEV
"Thermo Fisher Scientific, Inc.",赛默飞世尔科技公司,TMO
"NextEra Energy, Inc.",新纪元能源公司,NEE
"Adobe, Inc.",Adobe,ADBE
"PDD Holdings, Inc.",拼多多公司,PDD
Boston Scientific Corp.,波士顿科学,BSX
"Applied Materials, Inc.",应用材料公司,AMAT
"Mitsubishi UFJ Financial Group, Inc.","Mitsubishi UFJ Financial Group, Inc.",MUFG
"Honeywell International, Inc.",霍尼韦尔国际公司,HON
Stryker Corp.,史赛克公司,SYK
Eaton Corp. Plc,伊顿公司,ETN
Unilever Plc,联合利华PLC,UL
Progressive Corp.,美国前进保险公司,PGR
Sony Group Corp.,Sony Group Corp.,SONY
Spotify Technology SA,Spotify Technology SA,SPOT
"Arista Networks, Inc.","Arista Networks, Inc.",ANET
Capital One Financial Corp.,第一资本金融公司,COF
Pfizer Inc.,辉瑞制药公司,PFE
Vanguard Small-Cap ETF,小型股指数ETF-Vanguard MSCI,VB
TotalEnergies SE,TotalEnergies SE,TTE
"The TJX Cos., Inc.",TJX公司,TJX
Danaher Corp.,丹纳赫公司,DHR
Deere & Co.,迪尔股份有限公司,DE
"Gilead Sciences, Inc.",吉利德科学公司,GILD
Union Pacific Corp.,联合太平洋公司,UNP
Anheuser-Busch InBev SA/NV,百威英博公司,BUD
BHP Group Ltd.,必和必拓,BHP
"Palo Alto Networks, Inc.","Palo Alto Networks, Inc.",PANW
"KKR & Co., Inc.","KKR & Co., Inc.",KKR
"Blackstone, Inc.",黑石集团,BX
Comcast Corp.,康卡斯特公司,CMCSA
Lam Research Corp.,林氏研究公司,LRCX
"Micron Technology, Inc.",美光科技公司,MU
TotalEnergies SE,道达尔公司,TOT
The Toronto-Dominion Bank,道明银行,TD
Banco Santander SA,桑坦德银行,SAN
Amphenol Corp.,安费诺集团,APH
Applovin Corp.,Applovin Corp.,APP
KLA Corp.,科磊公司,KLAC
"Lowe's Companies, Inc.",劳氏公司,LOW
"Automatic Data Processing, Inc.",自动数据处理公司,ADP
"MercadoLibre, Inc.","MercadoLibre, Inc.",MELI
iPath Series B Bloomberg Energy Subindex Total Return ETN,iPath Series B Bloomberg Energy Subindex Total Return ETN,JJEB
"Analog Devices, Inc.",亚德诺半导体,ADI
"MicroStrategy, Inc.","MicroStrategy, Inc.",MSTR
"CrowdStrike Holdings, Inc.",CrowdStrike,CRWD
ICICI Bank Ltd.,印度工业信贷投资银行,IBN
"Vertex Pharmaceuticals, Inc.",福泰制药,VRTX
Sanofi,赛诺菲-安万特公司,SNY
"Anthem, Inc.","Anthem, Inc.",ANTM
iShares Russell 1000 Growth ETF,罗素1000成长指数ETF-iShares,IWF
ConocoPhillips,康菲石油公司,COP
UBS Group AG,瑞士银行,UBS
Medtronic Plc,美敦力公司,MDT
Vanguard Extended Market Index Fund,领航 扩展市场 ETF,VXF
British American Tobacco plc,英美烟草公司,BTI
iPath Series B Bloomberg Livestock Subindex Total Return ETN,iPath Series B Bloomberg Livestock Subindex Total Return ETN,COWB
iPath Series B Bloomberg Tin Subindex Total Return ETN,iPath Series B Bloomberg Tin Subindex Total Return ETN,JJTB
iPath Series B Bloomberg Cotton Subindex Total Return ETN,iPath Series B Bloomberg Cotton Subindex Total Return ETN,BALB
iPath Series B Bloomberg Grains Subindex Total Return ETN,iPath Series B Bloomberg Grains Subindex Total Return ETN,JJGB
Brookfield Corp.,Brookfield Corp.,BN
Chubb Ltd.,安达保险公司,CB
Vanguard Total International Bond Index Fund,Vanguard国际全债市指数ETF,BNDX
Lockheed Martin Corp.,洛克希德马丁公司,LMT
"Interactive Brokers Group, Inc.",盈透证券,IBKR
iPath Series B Bloomberg Agriculture Subindex Total Return ETN,iPath Series B Bloomberg Agriculture Subindex Total Return ETN,JJAB
iPath Series B Bloomberg Nickel Subindex Total Return ETN,iPath Series B Bloomberg Nickel Subindex Total Return ETN,BJJN
"NIKE, Inc.",耐克公司,NKE
"Coinbase Global, Inc.","Coinbase Global, Inc.",COIN
Starbucks Corp.,星巴克公司,SBUX
iPath Series B Bloomberg Aluminum Subindex Total Return ETN,iPath Series B Bloomberg Aluminum Subindex Total Return ETN,JJUB
American Tower Corp.,美国电塔,AMT
"Marsh & McLennan Cos., Inc.",威达信集团,MMC
"Welltower, Inc.","Welltower, Inc.",WELL
"Intercontinental Exchange, Inc.",洲际交易所,ICE
The Southern Co.,美国南方公司,SO
iPath Series B Bloomberg Softs Subindex Total Return ETN,iPath Series B Bloomberg Softs Subindex Total Return ETN,JJSB
iPath Series B Bloomberg Precious Metals Subindex TR ETN,iPath Series B Bloomberg Precious Metals Subindex TR ETN,JJPB
iPath Series B Bloomberg Sugar Subindex Total Return ETN,iPath Series B Bloomberg Sugar Subindex Total Return ETN,SGGB
"DoorDash, Inc.",DoorDash,DASH
Intel Corp.,英特尔公司,INTC
